clean_name,obj_name,campaign,ap_start,ap_end,count,EPIC_ID,main_type,sub_type,new_obj_name,alternate_names,PROPOSERS,IDS,Number,Desig,Family,CSource,Class,DiamSource,DiamFlag,Diam,HSource,H,HBand,GSource,G,AlbSource,AlbFlag,Albedo,PFlag,Period,PerDesc,AmpFlag,AmpMin,AmpMax,U,Notes,Pole,IsBinary,WideField,SparseData,NotesEx,Private
1997 XX3,Asteroid.Trojan.1997 XX3,12,200150088,200150336,249,NA,asteroid-Trojan,1997 XX3,Asteroid.Trojan.1997 XX3,16843|1997 XX3,Ryan,GO12051,16843,1997 XX3,HIL,A,C,C,-,21.16,M,12.1,V,M,0.15,A,-,0.057,-,275,-,-,-9.99,0.41,2,T?,-,N,N,N,N,N
1998 SN165,TNO.1998 SN165,8,200062904,200062956,53,NA,TNO,1998 SN165,TNO.1998 SN165,1998 SN165|35671,Kiss,GO8075,35671,1998 SN165,TNO,A,C,C,-,333.83,M,5.5,V,M,0.15,A,-,0.1,-,8.84,-,-,-9.99,0.16,2,A,-,N,N,N,N,N
1998 XA13,Asteroid.Trojan.1998 XA13,111|112,200107527,200129842,955,NA,asteroid-Trojan,1998 XA13,Asteroid.Trojan.1998 XA13,1998 XA13|23968,Pal|Parker|Ryan,GO11114|GO11100|GO11051,23968,1998 XA13,TR-J,A,C,C,-,25.26,T,11.72,V,G,0.79,A,-,0.057,-,11.14,-,-,-9.99,0.33,2,-,-,N,N,Y,N,N
1998 XX93,Asteroid.Trojan.1998 XX93,111|112,200108007,200130272,885,NA,asteroid-Trojan,1998 XX93,Asteroid.Trojan.1998 XX93,11397|1998 XX93,Pal|Parker|Ryan,GO11114|GO11100|GO11051,11397,1998 XX93,TR-J,A,C,C,-,50.77,M,10.2,V,M,0.15,A,-,0.057,-,12.7,-,-,0.1,0.25,2+,-,-,N,N,N,N,N
1999 DE9,TNO.1999 DE9,10,200073968,200074496,529,NA,TNO,1999 DE9,TNO.1999 DE9,1999 DE9|26375,Kiss,GO10075,26375,1999 DE9,TNO,A,C,D,-,383.27,L,5.2,V,M,0.15,A,-,0.1,>,24,-,<,-9.99,0.1,1,-,-,N,N,N,N,N
2000 AN146,Asteroid.Trojan.2000 AN146,111|112,200110544,200132385,268,NA,asteroid-Trojan,2000 AN146,Asteroid.Trojan.2000 AN146,2000 AN146|23135,Pal|Parker|Ryan,GO11114|GO11100|GO11051,23135,2000 AN146,TR-J,A,C,C,-,58.29,M,9.9,V,M,0.15,A,-,0.057,-,8.69,-,-,0.27,0.27,3-,-,-,N,N,N,N,N
2000 WW146,Asteroid.Trojan.2000 WW146,13,200169492,200170705,1214,NA,asteroid-Trojan,2000 WW146,Asteroid.Trojan.2000 WW146,193449|2000 WW146,Ryan,GO13051,193449,2000 WW146,MB-O,A,C,C,-,10.13,M,13.7,V,M,0.15,A,-,0.057,-,38.44,-,-,-9.99,0.2,3,-,-,N,N,N,N,N
2001 OR24,Asteroid.Trojan.2001 OR24,111|112,200116820,200137412,1112,NA,asteroid-Trojan,2001 OR24,Asteroid.Trojan.2001 OR24,124174|2001 OR24,Pal|Parker|Ryan,GO11114|GO11100|GO11051,124174,2001 OR24,HIL,A,C,C,-,7.16,T,14.45,V,G,0.2,A,-,0.057,-,8.171,-,-,-9.99,0.63,2,-,-,N,N,Y,N,N
2001 PJ4,Asteroid.Trojan.2001 PJ4,111|112,200117373,200137794,763,NA,asteroid-Trojan,2001 PJ4,Asteroid.Trojan.2001 PJ4,2001 PJ4|217032,Pal|Parker|Ryan,GO11114|GO11100|GO11051,217032,2001 PJ4,HIL,A,C,C,-,7.1,T,14.47,V,G,1,A,-,0.057,-,7.704,-,-,-9.99,0.42,2,-,-,N,N,Y,N,N
2001 QK43,Asteroid.Trojan.2001 QK43,111|112,200117754,200137915,241,NA,asteroid-Trojan,2001 QK43,Asteroid.Trojan.2001 QK43,2001 QK43|217039,Pal|Parker|Ryan,GO11114|GO11100|GO11051,217039,2001 QK43,HIL,A,C,C,-,5.35,T,15.08,V,G,1,A,-,0.057,-,7.967,-,-,-9.99,0.46,2,-,-,N,N,Y,N,N
