clean_name,obj_name,campaign,ap_start,ap_end,count,EPIC_ID,main_type,sub_type,new_obj_name,alternate_names,PROPOSERS,IDS,Name,Desig,Family,CSource,Class,DiamSource,DiamFlag,Diam,HSource,H,HBand,GSource,G,AlbSource,AlbFlag,Albedo,PFlag,Period,PerDesc,AmpFlag,AmpMin,AmpMax,U,Notes,Pole,IsBinary,WideField,SparseData,NotesEx,Private
10989,TROJAN (10989),6,200041889,200042014,126,NA,asteroid-Trojan,-10989,TROJAN (10989),10989|1973 SL1|Dolios,Ryan,GO6025,Dolios,1973 SL1,TR-J,A,C,C,-,30.59,M,11.3,V,M,0.15,A,-,0.057,-,26.101,-,-,0.32,0.36,2,H,-,N,N,Y,N,N
11251,TROJAN (11251),6,200042015,200042231,217,NA,asteroid-Trojan,-11251,TROJAN (11251),11251|1973 SN1|Icarion,Ryan,GO6025,Icarion,1973 SN1,TR-J,A,C,C,-,21.16,M,12.1,V,M,0.15,A,-,0.057,-,10.448,-,-,0.28,0.31,2,H,-,N,N,Y,N,N
1143,TROJAN (1143),6,200042598,200042780,183,NA,asteroid-Trojan,-1143,TROJAN (1143),1143|1930 BH|Odysseus,Ryan,GO6025,Odysseus,1930 BH,TR-J,T,D,S,-,125.64,M,7.93,V,M,0.15,S,-,0.0753,-,10.114,-,-,0.15,0.22,3,-,-,N,N,N,N,N
119942,Asteroid.Hilda.119942,14,200174511,200174707,197,NA,asteroid-Hilda,119942,Asteroid.Hilda.119942,119942|2002 GJ129,Ryan,GO14085,2002 GJ129,2002 GJ129,HIL,A,C,C,-,6.79,T,14.57,V,G,-9.99,A,-,0.057,-,5.119,-,-,-9.99,0.51,2,-,-,N,N,Y,N,N
12238,TROJAN (12238),6,200042781,200043131,351,NA,asteroid-Trojan,-12238,TROJAN (12238),12238|1987 YU1|Actor,Ryan,GO6025,Actor,1987 YU1,TR-J,A,C,C,-,36.78,M,10.9,V,M,0.15,A,-,0.057,-,7.284,-,-,0.29,0.33,2,-,-,N,N,N,N,N
126154,TNO (126154) 2001 YH140,5,200008716,200009280,565,NA,TNO,(126154) 2001 YH140,2001 YH140,126154|2001 YH140,NA,NA,2001 YH140,2001 YH140,TNO,A,C,C,-,333.83,M,5.5,V,M,0.15,A,-,0.1,-,13.25,-,-,0.19,0.21,2-,-,-,N,N,N,N,N
129602,TROJAN (129602),6,200043132,200043447,316,NA,asteroid-Trojan,-129602,TROJAN (129602),129602|1997 WA12,Ryan,GO6025,1997 WA12,1997 WA12,TR-J,A,C,C,-,21.16,M,12.1,V,M,0.15,A,-,0.057,-,43.01,-,-,0.28,0.39,2+,H,-,N,N,N,N,N
12974,TROJAN (12974),6,200043448,200043720,273,NA,asteroid-Trojan,-12974,TROJAN (12974),12974|1973 SB2|Halitherses,Ryan,GO6025,Halitherses,1973 SB2,TR-J,A,C,C,-,29.21,M,11.4,V,M,0.15,A,-,0.057,-,6.971,-,-,0.48,0.52,2+,H,-,N,N,N,N,N
13184,TROJAN (13184),6,200043721,200043758,38,NA,asteroid-Trojan,-13184,TROJAN (13184),13184|1996 TS49|Augeias,Ryan,GO6025,Augeias,1996 TS49,TR-J,A,C,C,-,35.12,M,11,V,M,0.15,A,-,0.057,-,11.934,-,-,0.15,0.16,2+,H,-,N,N,N,N,N
13185,TROJAN (13185),6,200043759,200044119,361,NA,asteroid-Trojan,-13185,TROJAN (13185),13185|1996 TH52|Agasthenes,Ryan,GO6025,Agasthenes,1996 TH52,TR-J,A,C,C,-,22.16,M,12,V,M,0.15,A,-,0.057,-,11.453,-,-,0.03,0.13,1,H,-,N,N,Y,N,N
13331,TROJAN (13331),6,200044120,200044183,64,NA,asteroid-Trojan,-13331,TROJAN (13331),13331|1998 SU52,Ryan,GO6025,1998 SU52,1998 SU52,TR-J,A,C,C,-,29.21,M,11.4,V,M,0.15,A,-,0.057,-,375,-,-,0.44,0.8,3-,T?,-,N,N,N,N,N
13366,TROJAN (13366),6,200044184,200044894,711,NA,asteroid-Trojan,-13366,TROJAN (13366),13366|1998 US24,Ryan,GO6025,1998 US24,1998 US24,TR-J,A,C,C,-,30.59,M,11.3,V,M,0.15,A,-,0.057,-,400,-,-,-9.99,0.23,2-,H,-,N,N,Y,N,N
13372,TROJAN (13372),6,200044895,200045697,803,NA,asteroid-Trojan,-13372,TROJAN (13372),13372|1998 VU6,Ryan,GO6025,1998 VU6,1998 VU6,TR-J,A,C,C,-,30.59,M,11.3,V,M,0.15,A,-,0.057,-,20.176,-,-,0.36,0.43,2,H,-,N,N,Y,N,N
13379,TROJAN (13379),6,200045698,200046039,342,NA,asteroid-Trojan,-13379,TROJAN (13379),13379|1998 WX9,Ryan,GO6025,1998 WX9,1998 WX9,TR-J,A,C,C,-,26.64,M,11.6,V,M,0.15,A,-,0.057,-,13.698,-,-,0.11,0.15,2,HA,-,N,N,N,N,N
141557,Asteroid.Hilda.141557,14,200175254,200175444,191,NA,asteroid-Hilda,141557,Asteroid.Hilda.141557,141557|2002 GY69,Ryan,GO14085,2002 GY69,2002 GY69,HIL,A,C,C,-,8.43,M,14.1,V,M,0.15,A,-,0.057,-,-9.99,-,-,-9.99,1.6,-,I,-,N,N,N,N,N
14690,TROJAN (14690),6,200046040,200046112,73,NA,asteroid-Trojan,-14690,TROJAN (14690),14690|2000 AR25,Ryan,GO6025,2000 AR25,2000 AR25,TR-J,A,C,C,-,36.39,T,10.92,V,G,0.68,A,-,0.057,-,8.519,-,-,0.18,0.22,2+,-,-,N,N,Y,N,N
14791,TROJAN (14791),6,200046113,200046166,54,NA,asteroid-Trojan,-14791,TROJAN (14791),14791|1973 SU|Atreus,Ryan,GO6025,Atreus,1973 SU,TR-J,A,C,C,-,24.3,M,11.8,V,M,0.15,A,-,0.057,-,19.615,-,-,0.34,0.37,2+,H,-,N,N,N,N,N
15529,TROJAN (15529),6,200046167,200047086,920,NA,asteroid-Trojan,-15529,TROJAN (15529),15529|2000 AA80,Ryan,GO6025,2000 AA80,2000 AA80,TR-J,A,C,C,-,27.9,M,11.5,V,M,0.15,A,-,0.057,-,375,-,-,0.5,0.59,2,H,-,N,N,Y,N,N
15626,TROJAN (15626),6,200047087,200047328,242,NA,asteroid-Trojan,-15626,TROJAN (15626),15626|2000 HR50,Ryan,GO6025,2000 HR50,2000 HR50,HIL,A,C,C,-,18.43,M,12.4,V,M,0.15,A,-,0.057,-,13.277,-,-,-9.99,0.68,2,-,-,N,N,Y,N,N
16152,TROJAN (16152),6,200047329,200047846,518,NA,asteroid-Trojan,-16152,TROJAN (16152),16152|1999 YN12,Ryan,GO6025,1999 YN12,1999 YN12,TR-J,A,C,C,-,19.12,T,12.32,V,M,0.15,A,-,0.057,-,22.996,-,-,0.55,0.75,2,-,-,N,N,Y,N,N
1749,TROJAN (1749),6,200047847,200048036,190,NA,asteroid-Trojan,-1749,TROJAN (1749),1749|1949 SB|Telamon,Ryan,GO6025,Telamon,1949 SB,TR-J,A,C,D,-,80.91,M,9.4,V,M,0.15,D,-,0.0469,-,16.975,-,-,0.06,0.1,3-,A,-,N,N,N,N,N
21593,TROJAN (21593),6,200048037,200048282,246,NA,asteroid-Trojan,-21593,TROJAN (21593),1998 VL27|21593,Ryan,GO6025,1998 VL27,1998 VL27,TR-J,A,C,C,-,26.64,M,11.6,V,M,0.15,A,-,0.057,-,10.747,-,-,0.8,0.99,2+,H,-,N,N,Y,N,N
21599,TROJAN (21599),6,200048283,200048532,250,NA,asteroid-Trojan,-21599,TROJAN (21599),1998 WA15|21599,Ryan,GO6025,1998 WA15,1998 WA15,TR-J,A,C,C,-,29.21,M,11.4,V,M,0.15,A,-,0.057,-,12.651,-,-,0.39,0.49,2+,H,-,N,N,Y,N,N
22056,TROJAN (22056),6,200048533,200048774,242,NA,asteroid-Trojan,-22056,TROJAN (22056),2000 AU31|22056,Ryan,GO6025,2000 AU31,2000 AU31,TR-J,A,C,C,-,24.3,M,11.8,V,M,0.15,A,-,0.057,-,358,-,-,0.87,0.98,2+,H,-,N,N,Y,N,N
228102,TROJAN (228102),6,200048775,200049195,421,NA,asteroid-Trojan,-228102,TROJAN (228102),2008 SY172|228102,Ryan,GO6025,2008 SY172,2008 SY172,TR-J,A,C,C,-,17.6,M,12.5,V,M,0.15,A,-,0.057,-,7.259,-,-,0.25,0.26,2+,H,-,N,N,Y,N,N
23939,TROJAN (23939),6,200049196,200049925,730,NA,asteroid-Trojan,-23939,TROJAN (23939),1998 TV33|23939,Ryan,GO6025,1998 TV33,1998 TV33,TR-J,A,C,C,-,29.21,M,11.4,V,M,0.15,A,-,0.057,-,12.868,-,-,0.49,0.55,2+,H,-,N,N,Y,N,N
23947,TROJAN (23947),6,200049926,200050052,127,NA,asteroid-Trojan,-23947,TROJAN (23947),1998 UH16|23947,Ryan,GO6025,1998 UH16,1998 UH16,TR-J,A,C,C,-,24.3,M,11.8,V,M,0.15,A,-,0.057,-,5.72,-,-,0.07,0.16,1+,H,-,N,N,Y,N,N
23958,TROJAN (23958),6,200050053,200050357,305,NA,asteroid-Trojan,-23958,TROJAN (23958),1998 VD30|23958,Ryan,GO6025,1998 VD30,1998 VD30,TR-J,A,C,C,-,50.77,M,10.2,V,M,0.15,A,-,0.057,-,562,-,-,0.36,0.45,2,H,-,N,N,Y,N,N
24357,TROJAN (24357),6,200050358,200050618,261,NA,asteroid-Trojan,-24357,TROJAN (24357),2000 AC115|24357,Ryan,GO6025,2000 AC115,2000 AC115,TR-J,A,C,C,-,25.44,M,11.7,V,M,0.15,A,-,0.057,-,264,-,-,0.38,0.39,2+,H,-,N,N,Y,N,N
24534,TROJAN (24534),6,200050619,200051168,550,NA,asteroid-Trojan,-24534,TROJAN (24534),2001 CX27|24534,Ryan,GO6025,2001 CX27,2001 CX27,TR-J,A,C,C,-,32.03,M,11.2,V,M,0.15,A,-,0.057,-,19.417,-,-,0.11,0.15,2,H,-,N,N,Y,N,N
24537,TROJAN (24537),6,200051169,200051405,237,NA,asteroid-Trojan,-24537,TROJAN (24537),2001 CB35|24537,Ryan,GO6025,2001 CB35,2001 CB35,TR-J,A,C,C,-,33.54,M,11.1,V,M,0.15,A,-,0.057,-,10.489,-,-,0.3,0.34,2+,H,-,N,N,Y,N,N
