Sector,Start,End,Orbits1,Orbits2,RA,Dec,Roll,Cam1RA,Cam1Dec,Cam2RA,Cam2Dec,Cam3RA,Cam3Dec,Cam4RA,Cam4Dec
1,07/25/18,08/22/18,9,10,352.6844,-64.8531,-137.8468,324.5670,-33.1730,338.5766,-55.0789,19.4927,-71.9781,90.0042,-66.5647
2,08/22/18,09/20/18,11,12,16.5571,-54.0160,-139.5665,352.0795,-23.0645,5.6956,-44.3080,33.3557,-62.1878,90.0021,-66.5654
3,09/20/18,10/18/18,13,14,36.3138,-44.2590,-146.9616,17.1728,-12.2229,28.4640,-33.9055,47.3926,-53.8504,89.9996,-66.5654
4,10/18/18,11/15/18,15,16,55.0070,-36.6420,-157.1698,41.8084,-2.7600,49.8806,-25.4686,61.8676,-47.5211,89.9973,-66.5649
5,11/15/18,12/11/18,17,18,73.5382,-31.9349,-168.9483,67.0563,3.5339,71.1053,-20.1344,76.6971,-43.6751,89.9956,-66.5642
6,12/11/18,01/07/19,19,20,92.0096,-30.5839,178.6367,92.8145,5.4079,92.3086,-18.5869,91.6247,-42.5799,89.9947,-66.5632
7,01/07/19,02/02/19,21,22,110.2559,-32.6344,166.4476,118.1810,2.5749,113.2461,-20.9331,106.3563,-44.2432,89.9954,-66.5621
8,02/02/19,02/28/19,23,24,128.1156,-37.7370,155.3091,142.3675,-4.1754,133.6943,-26.6971,120.5958,-48.4220,89.9978,-66.5616
9,02/28/19,03/26/19,25,26,145.9071,-45.3044,145.9163,165.7044,-13.4558,154.0889,-35.0441,134.2662,-54.7292,90.0002,-66.5617
10,03/26/19,04/22/19,27,28,165.0475,-54.8165,139.1724,189.9002,-23.8878,176.1577,-45.1375,147.6953,-62.8858,90.0018,-66.5620
11,04/22/19,05/21/19,29,30,189.1247,-65.5369,138.0761,217.3031,-33.7306,203.4026,-55.7183,161.3942,-72.6301,90.0037,-66.5622
12,05/21/19,06/19/19,31,32,229.5885,-75.1256,153.9773,249.3404,-40.2646,241.5203,-63.8197,177.2960,-83.3792,90.0057,-66.5627
13,06/19/19,07/18/19,33,34,298.6671,-76.3281,-161.0622,284.0498,-40.8957,289.5886,-64.6822,357.9380,-85.4978,90.0061,-66.5638
